[23:13:36:022] [main/INFO]: Start server
[23:16:27:717] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:16:29:500] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:16:29:577] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:16:30:175] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:16:30:295] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:16:31:531] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:31:742] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:31:742] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:32:883] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:32:883] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:34:469] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:34:684] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:34:685] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:35:821] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:35:821] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:36:010] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:36:011] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:16:37:171] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:37:339] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:37:340] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:38:523] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:38:523] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:39:191] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:16:39:586] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:39:586] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:40:542] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:16:40:542] [Thread-1/INFO]: !!!!!! = died
[23:16:40:542] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:16:40:840] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleEnd, id 5, size 3
